2026-05-09 17:10:01,989 | INFO     | __main__ | MainThread | Starting Forge Inference Server
2026-05-09 17:10:01,990 | INFO     | scheduler | MainThread | Initialized Scheduler with aging_rate=0.2
2026-05-09 17:10:01,990 | INFO     | worker | WorkerThread-1 | Worker 1 started
2026-05-09 17:10:01,990 | INFO     | __main__ | MainThread | Started worker thread 1
2026-05-09 17:10:01,990 | INFO     | worker | WorkerThread-2 | Worker 2 started
2026-05-09 17:10:01,991 | INFO     | __main__ | MainThread | Started worker thread 2
2026-05-09 17:10:01,991 | INFO     | worker | WorkerThread-3 | Worker 3 started
2026-05-09 17:10:01,991 | INFO     | __main__ | MainThread | Started worker thread 3
2026-05-09 17:10:01,991 | INFO     | scheduler | AgingThread | Aging thread started
2026-05-09 17:10:01,991 | INFO     | __main__ | MainThread | Started aging thread
2026-05-09 17:10:02,090 | INFO     | worker | WorkerThread-1 | Worker 1 processing job 0 (priority=2, currPriority=2.00, waited=0.10s)
2026-05-09 17:10:02,091 | INFO     | worker | WorkerThread-2 | Worker 2 processing job 2 (priority=2, currPriority=2.00, waited=0.05s)
2026-05-09 17:10:02,091 | INFO     | worker | WorkerThread-3 | Worker 3 processing job 1 (priority=1, currPriority=1.00, waited=0.10s)
2026-05-09 17:10:02,591 | INFO     | worker | WorkerThread-1 | Worker 1 finished job 0 in 0.50s
2026-05-09 17:10:02,591 | INFO     | worker | WorkerThread-2 | Worker 2 finished job 2 in 0.50s
2026-05-09 17:10:02,592 | INFO     | worker | WorkerThread-3 | Worker 3 finished job 1 in 0.50s
2026-05-09 17:10:02,592 | INFO     | worker | WorkerThread-1 | Worker 1 processing job 3 (priority=2, currPriority=2.40, waited=0.50s)
2026-05-09 17:10:02,592 | INFO     | worker | WorkerThread-2 | Worker 2 processing job 4 (priority=2, currPriority=2.40, waited=0.45s)
2026-05-09 17:10:02,593 | INFO     | worker | WorkerThread-3 | Worker 3 processing job 5 (priority=2, currPriority=2.40, waited=0.40s)
2026-05-09 17:10:03,093 | INFO     | worker | WorkerThread-1 | Worker 1 finished job 3 in 0.50s
2026-05-09 17:10:03,093 | INFO     | worker | WorkerThread-2 | Worker 2 finished job 4 in 0.50s
2026-05-09 17:10:03,094 | INFO     | worker | WorkerThread-1 | Worker 1 processing job 6 (priority=2, currPriority=2.80, waited=0.85s)
2026-05-09 17:10:03,094 | INFO     | worker | WorkerThread-2 | Worker 2 processing job 7 (priority=2, currPriority=2.80, waited=0.80s)
2026-05-09 17:10:03,094 | INFO     | worker | WorkerThread-3 | Worker 3 finished job 5 in 0.50s
2026-05-09 17:10:03,095 | INFO     | worker | WorkerThread-3 | Worker 3 processing job 8 (priority=2, currPriority=2.80, waited=0.75s)
2026-05-09 17:10:03,595 | INFO     | worker | WorkerThread-2 | Worker 2 finished job 7 in 0.50s
2026-05-09 17:10:03,595 | INFO     | worker | WorkerThread-2 | Worker 2 processing job 9 (priority=2, currPriority=3.20, waited=1.20s)
2026-05-09 17:10:03,595 | INFO     | worker | WorkerThread-1 | Worker 1 finished job 6 in 0.50s
2026-05-09 17:10:03,595 | INFO     | worker | WorkerThread-3 | Worker 3 finished job 8 in 0.50s
2026-05-09 17:10:03,596 | INFO     | worker | WorkerThread-1 | Worker 1 processing job 10 (priority=2, currPriority=3.20, waited=1.15s)
2026-05-09 17:10:03,596 | INFO     | worker | WorkerThread-3 | Worker 3 processing job 11 (priority=2, currPriority=3.20, waited=1.10s)
2026-05-09 17:10:04,096 | INFO     | worker | WorkerThread-2 | Worker 2 finished job 9 in 0.50s
2026-05-09 17:10:04,096 | INFO     | worker | WorkerThread-2 | Worker 2 processing job 13 (priority=2, currPriority=3.60, waited=1.55s)
2026-05-09 17:10:04,097 | INFO     | worker | WorkerThread-1 | Worker 1 finished job 10 in 0.50s
2026-05-09 17:10:04,097 | INFO     | worker | WorkerThread-3 | Worker 3 finished job 11 in 0.50s
2026-05-09 17:10:04,097 | INFO     | worker | WorkerThread-1 | Worker 1 processing job 14 (priority=2, currPriority=3.40, waited=1.50s)
2026-05-09 17:10:04,098 | INFO     | worker | WorkerThread-3 | Worker 3 processing job 15 (priority=2, currPriority=3.40, waited=1.45s)
2026-05-09 17:10:04,597 | INFO     | worker | WorkerThread-2 | Worker 2 finished job 13 in 0.50s
2026-05-09 17:10:04,597 | INFO     | worker | WorkerThread-2 | Worker 2 processing job 16 (priority=2, currPriority=4.00, waited=1.90s)
2026-05-09 17:10:04,598 | INFO     | worker | WorkerThread-1 | Worker 1 finished job 14 in 0.50s
2026-05-09 17:10:04,598 | INFO     | worker | WorkerThread-1 | Worker 1 processing job 17 (priority=2, currPriority=4.00, waited=1.85s)
2026-05-09 17:10:04,598 | INFO     | worker | WorkerThread-3 | Worker 3 finished job 15 in 0.50s
2026-05-09 17:10:04,598 | INFO     | worker | WorkerThread-3 | Worker 3 processing job 18 (priority=2, currPriority=3.80, waited=1.80s)
2026-05-09 17:10:05,097 | INFO     | worker | WorkerThread-2 | Worker 2 finished job 16 in 0.50s
2026-05-09 17:10:05,098 | INFO     | worker | WorkerThread-2 | Worker 2 processing job 19 (priority=2, currPriority=4.20, waited=2.25s)
2026-05-09 17:10:05,098 | INFO     | worker | WorkerThread-1 | Worker 1 finished job 17 in 0.50s
2026-05-09 17:10:05,098 | INFO     | worker | WorkerThread-3 | Worker 3 finished job 18 in 0.50s
2026-05-09 17:10:05,099 | INFO     | worker | WorkerThread-1 | Worker 1 processing job 20 (priority=2, currPriority=4.20, waited=2.20s)
2026-05-09 17:10:05,099 | INFO     | worker | WorkerThread-3 | Worker 3 processing job 21 (priority=2, currPriority=4.20, waited=2.15s)
2026-05-09 17:10:05,598 | INFO     | worker | WorkerThread-2 | Worker 2 finished job 19 in 0.50s
2026-05-09 17:10:05,598 | INFO     | worker | WorkerThread-2 | Worker 2 processing job 22 (priority=2, currPriority=4.60, waited=2.60s)
2026-05-09 17:10:05,600 | INFO     | worker | WorkerThread-1 | Worker 1 finished job 20 in 0.50s
2026-05-09 17:10:05,600 | INFO     | worker | WorkerThread-1 | Worker 1 processing job 24 (priority=2, currPriority=4.60, waited=2.56s)
2026-05-09 17:10:05,600 | INFO     | worker | WorkerThread-3 | Worker 3 finished job 21 in 0.50s
2026-05-09 17:10:05,600 | INFO     | worker | WorkerThread-3 | Worker 3 processing job 25 (priority=2, currPriority=4.60, waited=2.50s)
2026-05-09 17:10:06,099 | INFO     | worker | WorkerThread-2 | Worker 2 finished job 22 in 0.50s
2026-05-09 17:10:06,099 | INFO     | worker | WorkerThread-2 | Worker 2 processing job 26 (priority=2, currPriority=5.00, waited=2.95s)
2026-05-09 17:10:06,100 | INFO     | worker | WorkerThread-1 | Worker 1 finished job 24 in 0.50s
2026-05-09 17:10:06,100 | INFO     | worker | WorkerThread-1 | Worker 1 processing job 27 (priority=2, currPriority=4.80, waited=2.90s)
2026-05-09 17:10:06,100 | INFO     | worker | WorkerThread-3 | Worker 3 finished job 25 in 0.50s
2026-05-09 17:10:06,100 | INFO     | worker | WorkerThread-3 | Worker 3 processing job 28 (priority=2, currPriority=4.80, waited=2.85s)
2026-05-09 17:10:06,599 | INFO     | worker | WorkerThread-2 | Worker 2 finished job 26 in 0.50s
2026-05-09 17:10:06,599 | INFO     | worker | WorkerThread-2 | Worker 2 processing job 29 (priority=2, currPriority=5.40, waited=3.30s)
2026-05-09 17:10:06,600 | INFO     | worker | WorkerThread-1 | Worker 1 finished job 27 in 0.50s
2026-05-09 17:10:06,600 | INFO     | worker | WorkerThread-1 | Worker 1 processing job 30 (priority=2, currPriority=5.40, waited=3.25s)
2026-05-09 17:10:06,601 | INFO     | worker | WorkerThread-3 | Worker 3 finished job 28 in 0.50s
2026-05-09 17:10:06,601 | INFO     | worker | WorkerThread-3 | Worker 3 processing job 31 (priority=2, currPriority=5.20, waited=3.20s)
2026-05-09 17:10:07,009 | INFO     | __main__ | MainThread | Main loop finished adding jobs.
2026-05-09 17:10:07,100 | INFO     | worker | WorkerThread-2 | Worker 2 finished job 29 in 0.50s
2026-05-09 17:10:07,100 | INFO     | worker | WorkerThread-2 | Worker 2 processing job 32 (priority=2, currPriority=5.60, waited=3.65s)
2026-05-09 17:10:07,101 | INFO     | worker | WorkerThread-1 | Worker 1 finished job 30 in 0.50s
2026-05-09 17:10:07,101 | INFO     | worker | WorkerThread-1 | Worker 1 processing job 33 (priority=2, currPriority=5.60, waited=3.60s)
2026-05-09 17:10:07,101 | INFO     | worker | WorkerThread-3 | Worker 3 finished job 31 in 0.50s
2026-05-09 17:10:07,101 | INFO     | worker | WorkerThread-3 | Worker 3 processing job 35 (priority=2, currPriority=5.60, waited=3.55s)
2026-05-09 17:10:07,600 | INFO     | worker | WorkerThread-2 | Worker 2 finished job 32 in 0.50s
2026-05-09 17:10:07,601 | INFO     | worker | WorkerThread-2 | Worker 2 processing job 12 (priority=1, currPriority=6.20, waited=5.11s)
2026-05-09 17:10:07,601 | INFO     | worker | WorkerThread-1 | Worker 1 finished job 33 in 0.50s
2026-05-09 17:10:07,601 | INFO     | worker | WorkerThread-1 | Worker 1 processing job 36 (priority=2, currPriority=6.00, waited=4.00s)
2026-05-09 17:10:07,601 | INFO     | worker | WorkerThread-3 | Worker 3 finished job 35 in 0.50s
2026-05-09 17:10:07,602 | INFO     | worker | WorkerThread-3 | Worker 3 processing job 37 (priority=2, currPriority=6.00, waited=3.95s)
2026-05-09 17:10:08,101 | INFO     | worker | WorkerThread-2 | Worker 2 finished job 12 in 0.50s
2026-05-09 17:10:08,101 | INFO     | worker | WorkerThread-2 | Worker 2 processing job 38 (priority=2, currPriority=6.40, waited=4.40s)
2026-05-09 17:10:08,101 | INFO     | worker | WorkerThread-1 | Worker 1 finished job 36 in 0.50s
2026-05-09 17:10:08,102 | INFO     | worker | WorkerThread-1 | Worker 1 processing job 39 (priority=2, currPriority=6.40, waited=4.35s)
2026-05-09 17:10:08,102 | INFO     | worker | WorkerThread-3 | Worker 3 finished job 37 in 0.50s
2026-05-09 17:10:08,102 | INFO     | worker | WorkerThread-3 | Worker 3 processing job 40 (priority=2, currPriority=6.20, waited=4.30s)
2026-05-09 17:10:08,601 | INFO     | worker | WorkerThread-2 | Worker 2 finished job 38 in 0.50s
2026-05-09 17:10:08,602 | INFO     | worker | WorkerThread-2 | Worker 2 processing job 41 (priority=2, currPriority=6.80, waited=4.75s)
2026-05-09 17:10:08,602 | INFO     | worker | WorkerThread-1 | Worker 1 finished job 39 in 0.50s
2026-05-09 17:10:08,602 | INFO     | worker | WorkerThread-3 | Worker 3 finished job 40 in 0.50s
2026-05-09 17:10:08,603 | INFO     | worker | WorkerThread-1 | Worker 1 processing job 42 (priority=2, currPriority=6.80, waited=4.70s)
2026-05-09 17:10:08,603 | INFO     | worker | WorkerThread-3 | Worker 3 processing job 43 (priority=2, currPriority=6.80, waited=4.65s)
2026-05-09 17:10:09,102 | INFO     | worker | WorkerThread-2 | Worker 2 finished job 41 in 0.50s
2026-05-09 17:10:09,102 | INFO     | worker | WorkerThread-2 | Worker 2 processing job 44 (priority=2, currPriority=7.00, waited=5.10s)
2026-05-09 17:10:09,104 | INFO     | worker | WorkerThread-1 | Worker 1 finished job 42 in 0.50s
2026-05-09 17:10:09,104 | INFO     | worker | WorkerThread-1 | Worker 1 processing job 46 (priority=2, currPriority=7.00, waited=5.05s)
2026-05-09 17:10:09,104 | INFO     | worker | WorkerThread-3 | Worker 3 finished job 43 in 0.50s
2026-05-09 17:10:09,104 | INFO     | worker | WorkerThread-3 | Worker 3 processing job 47 (priority=2, currPriority=7.00, waited=5.01s)
2026-05-09 17:10:09,603 | INFO     | worker | WorkerThread-2 | Worker 2 finished job 44 in 0.50s
